I0,I1,I2
38.000000,25.200001,22.700001
38.000000,21.200001,22.400000
38.000000,20.500000,22.000000
38.000000,25.100000,22.600000
38.000000,21.900000,22.500000
38.000000,22.200001,22.400000
38.000000,22.400000,22.400000
38.000000,22.200001,22.400000
38.000000,22.000000,22.299999
38.000000,21.900000,22.200001
38.000000,22.000000,22.200001
38.000000,24.600000,22.700001
38.000000,22.000000,22.500000
38.000000,23.299999,22.700001
38.000000,22.100000,22.600000
38.000000,22.200001,22.500000
38.000000,22.200001,22.500000
38.000000,21.600000,22.299999
38.000000,23.000000,22.400000
38.000000,22.100000,22.400000
38.000000,21.900000,22.299999
38.000000,21.000000,22.000000
38.000000,22.100000,22.000000
38.000000,22.200001,22.100000
38.000000,22.299999,22.100000
38.000000,22.299999,22.200001
38.000000,22.799999,22.299999
38.000000,22.200001,22.299999
38.000000,22.100000,22.200001
38.000000,22.000000,22.200001
38.000000,22.700001,22.299999
38.000000,20.600000,21.900000
38.000000,22.299999,22.000000
38.000000,24.100000,22.400000
38.000000,22.299999,22.400000
38.000000,22.200001,22.400000
38.000000,22.200001,22.299999
38.000000,21.799999,22.200001
38.000000,21.200001,22.000000
38.000000,22.200001,22.100000
38.000000,22.200001,22.100000
38.000000,22.299999,22.100000
38.000000,22.100000,22.100000
38.000000,21.600000,22.000000
38.000000,22.200001,22.000000
38.000000,22.000000,22.000000
38.000000,21.700001,22.000000
38.000000,21.700001,21.900000
38.000000,22.299999,22.000000
38.000000,23.000000,22.200001
38.000000,22.200001,22.200001
38.000000,22.200001,22.200001
38.000000,20.299999,21.799999
38.000000,22.100000,21.900000
38.000000,22.200001,21.900000
38.000000,23.500000,22.200001
38.000000,22.000000,22.200001
38.000000,25.200001,22.799999
38.000000,21.900000,22.600000
38.000000,22.100000,22.500000
38.000000,22.200001,22.400000
38.000000,21.799999,22.299999
38.000000,22.500000,22.400000
38.000000,22.500000,22.400000
38.000000,22.299999,22.400000
38.000000,22.200001,22.299999
38.000000,21.700001,22.200001
38.000000,22.200001,22.200001
38.000000,22.200001,22.200001
38.000000,22.200001,22.200001
38.000000,22.200001,22.200001
38.000000,22.200001,22.200001
38.000000,21.900000,22.100000
38.000000,22.200001,22.100000
38.000000,22.299999,22.200001
38.000000,21.500000,22.000000
38.000000,22.299999,22.100000
38.000000,21.500000,22.000000
38.000000,22.100000,22.000000
38.000000,21.000000,21.799999
38.000000,22.100000,21.900000
38.000000,22.400000,22.000000
38.000000,22.299999,22.100000
38.000000,22.000000,22.000000
38.000000,22.200001,22.100000
38.000000,22.299999,22.100000
38.000000,22.100000,22.100000
38.000000,22.000000,22.100000
38.000000,22.100000,22.100000
38.000000,22.100000,22.100000
38.000000,22.000000,22.100000
38.000000,22.100000,22.100000
38.000000,21.000000,21.900000
38.000000,22.000000,21.900000
38.000000,20.299999,21.600000
38.000000,21.700001,21.600000
38.000000,21.700001,21.600000
38.000000,22.500000,21.799999
38.000000,22.200001,21.900000
38.000000,22.200001,21.900000
38.000000,21.900000,21.900000
38.000000,22.400000,22.000000
38.000000,22.000000,22.000000
38.000000,21.700001,22.000000
38.000000,21.000000,21.799999
38.000000,21.799999,21.799999
38.000000,21.100000,21.600000
38.000000,22.000000,21.700001
38.000000,23.299999,22.000000
38.000000,22.299999,22.100000
38.000000,25.700001,22.799999
38.000000,21.600000,22.600000
38.000000,20.600000,22.200001
38.000000,20.000000,21.700001
38.000000,22.200001,21.799999
38.000000,24.000000,22.299999
38.000000,22.100000,22.200001
38.000000,21.799999,22.100000
38.000000,22.100000,22.100000
38.000000,21.500000,22.000000
38.000000,22.299999,22.100000
38.000000,21.900000,22.000000
38.000000,25.200001,22.700001
38.000000,22.299999,22.600000
38.000000,24.600000,23.000000
38.000000,22.100000,22.799999
38.000000,21.600000,22.600000
38.000000,22.700001,22.600000
38.000000,22.299999,22.500000
38.000000,22.400000,22.500000
38.000000,21.700001,22.400000
38.000000,22.500000,22.400000
38.000000,20.000000,21.900000
38.000000,22.000000,21.900000
38.000000,23.700001,22.299999
38.000000,21.700001,22.200001
38.000000,22.400000,22.200001
38.000000,22.100000,22.200001
38.000000,21.500000,22.100000
38.000000,21.200001,21.900000
38.000000,22.200001,21.900000
38.000000,22.400000,22.000000
38.000000,22.100000,22.100000
38.000000,22.200001,22.100000
38.000000,21.900000,22.000000
38.000000,21.500000,21.900000
38.000000,21.100000,21.799999
38.000000,23.799999,22.200001
38.000000,19.799999,21.700001
38.000000,21.299999,21.600000
38.000000,25.100000,22.299999
38.000000,22.000000,22.299999
38.000000,21.500000,22.100000
38.000000,21.299999,21.900000
38.000000,20.000000,21.600000
38.000000,24.100000,22.100000
38.000000,20.400000,21.700001
38.000000,21.100000,21.600000
38.000000,22.299999,21.700001
38.000000,22.000000,21.799999
38.000000,25.100000,22.400000
38.000000,21.700001,22.299999
38.000000,22.400000,22.299999
38.000000,21.799999,22.200001
38.000000,22.299999,22.200001
38.000000,22.100000,22.200001
38.000000,21.400000,22.000000
38.000000,22.299999,22.100000
